stat_name,statcategory,ssg,en_stat_name
"{""de_de"":""|Rpl {0}:Tod:Tode;"",""en_gb"":""|Rpl {0}:Death:Deaths;"",""en_us"":""|Rpl {0}:Death:Deaths;"",""es_es"":""|Rpl {0}:Muerte:Muertes;"",""es_mx"":""|Rpl {0}:Muerte:Muertes;"",""fr_fr"":""|Rpl {0}:Mort:Morts;"",""it_it"":""|Rpl {0}:Morte:Morti;"",""ja_jp"":""デス"",""ko_kr"":""죽음"",""pl_pl"":""|Rpl {0}:zgony:zgony:zgony;"",""pt_br"":""|Rpl {0}:Morte:Mortes;"",""pt_pt"":""|Rpl {0}:Morte:Mortes;"",""ru_ru"":""|Rpl {0}:смерть:смерти:смертей;"",""zh_cn"":""阵亡"",""zh_tw"":""死亡數""}",Hero,42,|Rpl {0}:Death:Deaths;
"{""de_de"":""|Rpl {0}:Todestoß:Todesstöße;"",""en_gb"":""Final |Rpl {0}:Blow:Blows;"",""en_us"":""Final |Rpl {0}:Blow:Blows;"",""es_es"":""|Rpl {0}:Golpe:Golpes; de gracia"",""es_mx"":""|Rpl {0}:Golpe:Golpes; de gracia"",""fr_fr"":""|Rpl {0}:Coup:Coups; de grâce"",""it_it"":""|Rpl {0}:Colpo:Colpi; di grazia"",""ja_jp"":""ファイナル・ブロウ"",""ko_kr"":""결정타"",""pl_pl"":""|Rpl {0}:trafienia kończące:trafienia kończące:trafienia kończące;"",""pt_br"":""|Rpl {0}:Golpe final:Golpes finais;"",""pt_pt"":""|Rpl {0}:Golpe final:Golpes finais;"",""ru_ru"":""|Rpl {0}:Смертельный удар:Смертельных удара:Смертельных ударов;"",""zh_cn"":""最后一击"",""zh_tw"":""最後一擊""}",Hero,43,Final |Rpl {0}:Blow:Blows;
"{""de_de"":""|Rpl {0}:Todestoß:Todesstöße;"",""en_gb"":""Final |Rpl {0}:Blow:Blows;"",""en_us"":""Final |Rpl {0}:Blow:Blows;"",""es_es"":""|Rpl {0}:Golpe:Golpes; de gracia"",""es_mx"":""|Rpl {0}:Golpe:Golpes; de gracia"",""fr_fr"":""|Rpl {0}:Coup:Coups; de grâce"",""it_it"":""|Rpl {0}:Colpo:Colpi; di grazia"",""ja_jp"":""ファイナル・ブロウ"",""ko_kr"":""결정타"",""pl_pl"":""|Rpl {0}:trafienia kończące:trafienia kończące:trafienia kończące;"",""pt_br"":""|Rpl {0}:Golpe final:Golpes finais;"",""pt_pt"":""|Rpl {0}:Golpe final:Golpes finais;"",""ru_ru"":""|Rpl {0}:Смертельный удар:Смертельных удара:Смертельных ударов;"",""zh_cn"":""最后一击"",""zh_tw"":""最後一擊""}",Hero,44,Final |Rpl {0}:Blow:Blows;
"{""de_de"":""|Rpl {0}:Solokill:Solokills;"",""en_gb"":""Solo |Rpl {0}:Kill:Kills;"",""en_us"":""Solo |Rpl {0}:Kill:Kills;"",""es_es"":""|Rpl {0}:Asesinato:Asesinatos; en solitario"",""es_mx"":""|Rpl {0}:Derribo:Derribos; a solas"",""fr_fr"":""|Rpl {0}:Victime:Victimes; en solo"",""it_it"":""|Rpl {0}:Uccisione solitaria:Uccisioni solitarie;"",""ja_jp"":""単独キル"",""ko_kr"":""단독 처치"",""pl_pl"":""|Rpl {0}:zabici:zabici:zabici; w pojedynkę"",""pt_br"":""|Rpl {0}:Abate individual:Abates individuais;"",""pt_pt"":""|Rpl {0}:Abate individual:Abates individuais;"",""ru_ru"":""|Rpl {0}:одиночное убийство:одиночных убийства:одиночных убийств;"",""zh_cn"":""单独消灭"",""zh_tw"":""單人擊殺數""}",Hero,45,Solo |Rpl {0}:Kill:Kills;
"{""de_de"":""|Rpl {0}:Solokill:Solokills;"",""en_gb"":""Solo |Rpl {0}:Kill:Kills;"",""en_us"":""Solo |Rpl {0}:Kill:Kills;"",""es_es"":""|Rpl {0}:Asesinato:Asesinatos; en solitario"",""es_mx"":""|Rpl {0}:Derribo:Derribos; a solas"",""fr_fr"":""|Rpl {0}:Victime:Victimes; en solo"",""it_it"":""|Rpl {0}:Uccisione solitaria:Uccisioni solitarie;"",""ja_jp"":""単独キル"",""ko_kr"":""단독 처치"",""pl_pl"":""|Rpl {0}:zabici:zabici:zabici; w pojedynkę"",""pt_br"":""|Rpl {0}:Abate individual:Abates individuais;"",""pt_pt"":""|Rpl {0}:Abate individual:Abates individuais;"",""ru_ru"":""|Rpl {0}:одиночное убийство:одиночных убийства:одиночных убийств;"",""zh_cn"":""单独消灭"",""zh_tw"":""單人擊殺數""}",Hero,46,Solo |Rpl {0}:Kill:Kills;
"{""de_de"":""Trefferquote"",""en_gb"":""Weapon Accuracy"",""en_us"":""Weapon Accuracy"",""es_es"":""Precisión con armas"",""es_mx"":""Precisión con armas"",""fr_fr"":""Précision"",""it_it"":""Precisione"",""ja_jp"":""武器命中率"",""ko_kr"":""명중률"",""pl_pl"":""Celność"",""pt_br"":""Precisão da arma"",""pt_pt"":""Precisão da arma"",""ru_ru"":""Меткость"",""zh_cn"":""武器命中率"",""zh_tw"":""命中率""}",Hero,47,Weapon Accuracy
"{""de_de"":""|Rpl {0}:Abgefeuerter Schuss:Abgefeuerte Schüsse;"",""en_gb"":""|Rpl {0}:Shot:Shots; Fired"",""en_us"":""|Rpl {0}:Shot:Shots; Fired"",""es_es"":""|Rpl {0}:Disparo realizado:Disparos realizados;"",""es_mx"":""|Rpl {0}:Disparo realizado:Disparos realizados;"",""fr_fr"":""|Rpl {0}:Tir:Tirs;"",""it_it"":""|Rpl {0}:Colpo sparato:Colpi sparati;"",""ja_jp"":""発射"",""ko_kr"":""발사"",""pl_pl"":""|Rpl {0}:wystrzelone pociski:wystrzelone pociski:wystrzelone pociski;"",""pt_br"":""|Rpl {0}:Tiro:Tiros; disparados"",""pt_pt"":""|Rpl {0}:Tiro:Tiros; disparados"",""ru_ru"":""|Rpl {0}:Атака проведена:Атаки проведены:Атак проведено;"",""zh_cn"":""射击次数"",""zh_tw"":""攻擊次數""}",Hero,48,|Rpl {0}:Shot:Shots; Fired
"{""de_de"":""Treffer"",""en_gb"":""|Rpl {0}:Shot:Shots; Hit"",""en_us"":""|Rpl {0}:Shot:Shots; Hit"",""es_es"":""|Rpl {0}:Disparo acertado:Disparos acertados;"",""es_mx"":""|Rpl {0}:Disparo acertado:Disparos acertados;"",""fr_fr"":""|Rpl {0}:Tir réussi:Tirs réussis;"",""it_it"":""|Rpl {0}:Colpo:Colpi; a segno"",""ja_jp"":""命中"",""ko_kr"":""명중"",""pl_pl"":""|Rpl {0}:trafienia:trafienia:trafienia;"",""pt_br"":""|Rpl {0}:Tiro acertado:Tiros acertados;"",""pt_pt"":""|Rpl {0}:Tiro acertado:Tiros acertados;"",""ru_ru"":""|Rpl {0}:Попадание:Попадания:Попаданий; в цель"",""zh_cn"":""射击命中"",""zh_tw"":""命中次數""}",Hero,49,|Rpl {0}:Shot:Shots; Hit
"{""de_de"":""Gesamtschaden im selben Leben – Bestleistung"",""en_gb"":""All Damage Done - Most in Life"",""en_us"":""All Damage Done - Most in Life"",""es_es"":""Daño total infligido: mayor en una vida"",""es_mx"":""Todo el daño infligido - Mayor cantidad en una vida"",""fr_fr"":""Dégâts infligés (tous) - Maximum en une vie"",""it_it"":""Danni totali inflitti - Globale"",""ja_jp"":""与えた最大ダメージ（全体）/ライフ"",""ko_kr"":""준 모든 피해 - 한 목숨 최고기록"",""pl_pl"":""Wszystkie zadane obrażenia – najwięcej na jednym życiu"",""pt_br"":""Todo dano causado - maior número em vida"",""pt_pt"":""Todo dano causado - maior número em vida"",""ru_ru"":""Макс. урона нанесено за одну жизнь"",""zh_cn"":""单次存活时伤害总量"",""zh_tw"":""死前最高總傷害量""}",Hero,53,All Damage Done - Most in Life
"{""de_de"":""Verursachte Heilung im selben Leben – Bestleistung"",""en_gb"":""Healing Done - Most in Life"",""en_us"":""Healing Done - Most in Life"",""es_es"":""Sanación realizada: mayor en una vida"",""es_mx"":""Mayor cantidad de sanaciones realizadas"",""fr_fr"":""Soins prodigués - Maximum en une vie"",""it_it"":""Cure fornite - Globale"",""ja_jp"":""回復したライフ最大量/ライフ"",""ko_kr"":""치유 - 한 목숨 최고기록"",""pl_pl"":""Wyleczone obrażenia – najwięcej na jednym życiu"",""pt_br"":""Cura realizada - maior número em vida"",""pt_pt"":""Cura realizada - maior número em vida"",""ru_ru"":""Макс. исцеление (за одну жизнь)"",""zh_cn"":""单次存活时最多治疗量"",""zh_tw"":""死前最高治療量""}",Hero,54,Healing Done - Most in Life
"{""de_de"":""|Rpl {0}:Match:Matches; gespielt"",""en_gb"":""|Rpl {0}:Game:Games; Played"",""en_us"":""|Rpl {0}:Game:Games; Played"",""es_es"":""|Rpl {0}:Partida jugada:Partidas jugadas;"",""es_mx"":""|Rpl {0}:Partida jugada:Partidas jugadas;"",""fr_fr"":""|Rpl {0}:Partie jouée:Parties jouées;"",""it_it"":""|Rpl {0}:Partita giocata:Partite giocate;"",""ja_jp"":""マッチ"",""ko_kr"":""치른 게임"",""pl_pl"":""|Rpl {0}:rozegrane gry:rozegrane gry:rozegrane gry;"",""pt_br"":""|Rpl {0}:Jogo realizado:Jogos realizados;"",""pt_pt"":""|Rpl {0}:Jogo realizado:Jogos realizados;"",""ru_ru"":""|Rpl {0}:матч сыгран:матча сыграно:матчей сыграно;"",""zh_cn"":""比赛场次"",""zh_tw"":""對戰次數""}",Hero,56,|Rpl {0}:Game:Games; Played
"{""de_de"":""|Rpl {0}:Match:Matches; gewonnen"",""en_gb"":""|Rpl {0}:Game:Games; Won"",""en_us"":""|Rpl {0}:Game:Games; Won"",""es_es"":""|Rpl {0}:Partida ganada:Partidas ganadas;"",""es_mx"":""|Rpl {0}:Partida ganada:Partidas ganadas;"",""fr_fr"":""|Rpl {0}:Partie gagnée:Parties gagnées;"",""it_it"":""|Rpl {0}:Partita vinta:Partite vinte;"",""ja_jp"":""マッチ勝利"",""ko_kr"":""승리한 게임"",""pl_pl"":""|Rpl {0}:Wygrane gry:Wygrane gry:Wygrane gry;"",""pt_br"":""|Rpl {0}:Jogo vencido:Jogos vencidos;"",""pt_pt"":""|Rpl {0}:Jogo vencido:Jogos vencidos;"",""ru_ru"":""|Rpl {0}:матч выигран:матча выиграно:матчей выиграно;"",""zh_cn"":""比赛胜利"",""zh_tw"":""勝場""}",Hero,57,|Rpl {0}:Game:Games; Won
"{""de_de"":""|Rpl {0}:Kill:Kills; mit Totentanz"",""en_gb"":""Death Blossom |Rpl {0}:Kill:Kills;"",""en_us"":""Death Blossom |Rpl {0}:Kill:Kills;"",""es_es"":""|Rpl {0}:Asesinato:Asesinatos; con Espiral de muerte"",""es_mx"":""|Rpl {0}:Derribo:Derribos; por Liberación de almas"",""fr_fr"":""|Rpl {0}:Victime:Victimes; d’Éclosion mortelle"",""it_it"":""|Rpl {0}:Uccisione:Uccisioni; con Spirale della Morte"",""ja_jp"":""〈デス・ブロッサム〉キル"",""ko_kr"":""죽음의 꽃으로 처치"",""pl_pl"":""|Rpl {0}:zabici:zabici:zabici; Wirującą Śmiercią"",""pt_br"":""|Rpl {0}:Abate:Abates; por Desabrochar da Morte"",""pt_pt"":""|Rpl {0}:Abate:Abates; por Desabrochar da Morte"",""ru_ru"":""|Rpl {0}:убийство:убийства:убийств; «Цветком смерти»"",""zh_cn"":""死亡绽放消灭"",""zh_tw"":""死亡綻放擊殺數""}",Hero,58,Death Blossom |Rpl {0}:Kill:Kills;
"{""de_de"":""Trefferquote"",""en_gb"":""Weapon Accuracy"",""en_us"":""Weapon Accuracy"",""es_es"":""Precisión con armas"",""es_mx"":""Precisión con armas"",""fr_fr"":""Précision"",""it_it"":""Precisione"",""ja_jp"":""武器命中率"",""ko_kr"":""명중률"",""pl_pl"":""Celność"",""pt_br"":""Precisão da arma"",""pt_pt"":""Precisão da arma"",""ru_ru"":""Меткость"",""zh_cn"":""武器命中率"",""zh_tw"":""命中率""}",Hero,100,Weapon Accuracy
"{""de_de"":""|Rpl {0}:Kill:Kills; mit Impulsbomben"",""en_gb"":""Pulse Bomb |Rpl {0}:Kill:Kills;"",""en_us"":""Pulse Bomb |Rpl {0}:Kill:Kills;"",""es_es"":""|Rpl {0}:Asesinato:Asesinatos; con Bomba de pulsos"",""es_mx"":""|Rpl {0}:Derribo:Derribos; por Bomba de pulso"",""fr_fr"":""|Rpl {0}:Victime:Victimes; de Bombe à impulsion"",""it_it"":""|Rpl {0}:Uccisione:Uccisioni; con Bomba a Impulsi"",""ja_jp"":""〈パルス・ボム〉キル"",""ko_kr"":""펄스 폭탄으로 처치"",""pl_pl"":""|Rpl {0}:zabici:zabici:zabici; Bombą Pulsacyjną"",""pt_br"":""|Rpl {0}:Abate:Abates; por Bomba Eletromagnética"",""pt_pt"":""|Rpl {0}:Abate:Abates; por Bomba Eletromagnética"",""ru_ru"":""|Rpl {0}:убийство:убийства:убийств; «Импульсной бомбой»"",""zh_cn"":""脉冲炸弹消灭"",""zh_tw"":""脈衝炸彈擊殺數""}",Hero,105,Pulse Bomb |Rpl {0}:Kill:Kills;
"{""de_de"":""|Rpl {0}:Warp:Warps; in diesem Match"",""en_gb"":""Match |Rpl {0}:Blink:Blinks; Used"",""en_us"":""Match |Rpl {0}:Blink:Blinks; Used"",""es_es"":""|Rpl {0}:Traslación:Traslaciones; en esta partida"",""es_mx"":""|Rpl {0}:Traslación usada:Traslaciones usadas; en una partida"",""fr_fr"":""|Rpl {0}:Transfert utilisé:Transferts utilisés;"",""it_it"":""|Rpl {0}:Traslazione per round usata:Traslazioni per round usate;"",""ja_jp"":""〈ブリンク〉使用/マッチ"",""ko_kr"":""경기 중 점멸 사용"",""pl_pl"":""Mignięcia podczas meczu"",""pt_br"":""|Rpl {0}:Teleporte usado:Teleportes usados; na partida"",""pt_pt"":""|Rpl {0}:Teleporte usado:Teleportes usados; na partida"",""ru_ru"":""|Rpl {0}:«Скачок»:«Скачка»:«Скачков»; за матч"",""zh_cn"":""比赛中使用闪现"",""zh_tw"":""閃現使用次數""}",Hero,106,Match |Rpl {0}:Blink:Blinks; Used
"{""de_de"":""Durchgeführte |Rpl {0}:Zeitschleife:Zeitschleifen;"",""en_gb"":""|Rpl {0}:Recall:Recalls; Used"",""en_us"":""|Rpl {0}:Recall:Recalls; Used"",""es_es"":""|Rpl {0}:Regresión usada:Regresiones usadas;"",""es_mx"":""|Rpl {0}:Regresión usada:Regresiones usadas;"",""fr_fr"":""|Rpl {0}:Rappel utilisé:Rappels utilisés;"",""it_it"":""Flashback |Rpl {0}: usato:usati;"",""ja_jp"":""リコール使用"",""ko_kr"":""시간 역행 사용"",""pl_pl"":""|Rpl {0}:użycia:użycia:użycia; Powrotu"",""pt_br"":""|Rpl  {0}:Recordação usada:Recordações usadas;"",""pt_pt"":""|Rpl  {0}:Recordação usada:Recordações usadas;"",""ru_ru"":""|Rpl {0}:«Возврат»:«Возврата»:«Возвратов»; за матч"",""zh_cn"":""使用闪回"",""zh_tw"":""回溯使用次數""}",Hero,107,|Rpl {0}:Recall:Recalls; Used
"{""de_de"":""|Rpl {0}:Direkter:Direkte; Raketen{d}treffer"",""en_gb"":""Rocket Direct |Rpl {0}:Hit:Hits;"",""en_us"":""Rocket Direct |Rpl {0}:Hit:Hits;"",""es_es"":""|Rpl {0}:Golpe directo:Golpes directos; con cohetes"",""es_mx"":""|Rpl {0}:Impacto:Impactos; con cohetes"",""fr_fr"":""|Rpl {0}:Tir de roquette direct:Tirs de roquettes directs;"",""it_it"":""|Rpl {0}:Colpo diretto:Colpi diretti; con razzi"",""ja_jp"":""ロケット直撃"",""ko_kr"":""로켓 명중"",""pl_pl"":""|Rpl {0}:bezpośrednie trafienia rakietami:bezpośrednie trafienia rakietami:bezpośrednie trafienia rakietami;"",""pt_br"":""|Rpl {0}:Golpe direto:Golpes diretos; de foguete"",""pt_pt"":""|Rpl {0}:Golpe direto:Golpes diretos; de foguete"",""ru_ru"":""|Rpl {0}:Прямое попадание:Прямых попадания:Прямых попаданий; ракетой"",""zh_cn"":""火箭直接命中"",""zh_tw"":""火箭直接命中數""}",Hero,130,Rocket Direct |Rpl {0}:Hit:Hits;
"{""de_de"":""|Rpl {0}:Kill:Kills; mit Trommelfeuer"",""en_gb"":""Barrage |Rpl {0}:Kill:Kills;"",""en_us"":""Barrage |Rpl {0}:Kill:Kills;"",""es_es"":""|Rpl {0}:Asesinato:Asesinatos; con Bombardeo"",""es_mx"":""|Rpl {0}:Derribo:Derribos; por Bombardeo"",""fr_fr"":""|Rpl {0}:Victime:Victimes; de Barrage"",""it_it"":""|Rpl {0}:Uccisione:Uccisioni; con Pioggia di Fuoco"",""ja_jp"":""〈バレッジ〉キル"",""ko_kr"":""포화로 처치"",""pl_pl"":""|Rpl {0}:zabici:zabici:zabici; Salwą"",""pt_br"":""|Rpl {0}:Abate:Abates; por Bombardeio"",""pt_pt"":""|Rpl {0}:Abate:Abates; por Bombardeio"",""ru_ru"":""|Rpl {0}:убийство:убийства:убийств; «Ракетным залпом»"",""zh_cn"":""弹幕消灭"",""zh_tw"":""火箭彈幕擊殺數""}",Hero,132,Barrage |Rpl {0}:Kill:Kills;
"{""de_de"":""|Rpl {0}:Kill:Kills; mit Giftminen"",""en_gb"":""Venom Mine |Rpl {0}:Kill:Kills;"",""en_us"":""Venom Mine |Rpl {0}:Kill:Kills;"",""es_es"":""|Rpl {0}:Asesinato:Asesinatos; con Mina venenosa"",""es_mx"":""|Rpl {0}:Derribo:Derribos; por Mina venenosa"",""fr_fr"":""|Rpl {0}:Victime:Victimes; de Mine venimeuse"",""it_it"":""|Rpl {0}:Uccisione:Uccisioni; con Mina Venefica"",""ja_jp"":""〈ヴェノム・マイン〉キル"",""ko_kr"":""맹독 지뢰로 처치"",""pl_pl"":""|Rpl {0}:zabici:zabici:zabici; Jadowitą Miną"",""pt_br"":""|Rpl {0}:Abate:Abates; por Mina Venenosa"",""pt_pt"":""|Rpl {0}:Abate:Abates; por Mina Venenosa"",""ru_ru"":""|Rpl {0}:убийство:убийства:убийств; «Ядовитой миной»"",""zh_cn"":""剧毒诡雷消灭"",""zh_tw"":""劇毒地雷擊殺數""}",Hero,138,Venom Mine |Rpl {0}:Kill:Kills;
"{""de_de"":""|Rpl {0}:Sieg:Siege; auf dieser Karte"",""en_gb"":""Map |Rpl {0}:Win:Wins;"",""en_us"":""Map |Rpl {0}:Win:Wins;"",""es_es"":""|Rpl {0}:Victoria:Victorias; en este mapa"",""es_mx"":""|Rpl {0}:Victoria:Victorias; de mapa"",""fr_fr"":""|Rpl {0}:Victoire:Victoires;"",""it_it"":""|Rpl {0}:Vittoria:Vittorie; nella mappa"",""ja_jp"":""マップ勝利"",""ko_kr"":""전장 승리"",""pl_pl"":""|Rpl {0}:wygrane:wygrane:wygrane; na mapie"",""pt_br"":"" |Rpl {0}:Vitória:Vitórias; em mapas"",""pt_pt"":"" |Rpl {0}:Vitória:Vitórias; em mapas"",""ru_ru"":""|Rpl {0}:матч выигран:матча выиграно:матчей выиграно;"",""zh_cn"":""地图获胜"",""zh_tw"":""地圖勝場數""}",PlayerMap,141,Map |Rpl {0}:Win:Wins;
